,title,link,votes
0,Ink: React for interactive command-line apps,https://github.com/vadimdemedes/ink,495
1,"Street Fighter II, paper trails (2021)",https://fabiensanglard.net/sf2_sheets/index.html,339
2,Ancient Greek terms worth reviving,https://classicalwisdom.substack.com/p/12-ancient-greek-terms-that-should,321
3,Please don’t upload my code on GitHub,https://nogithub.codeberg.page/,313
4,Cantonese Font with Pronunciation,https://visual-fonts.com/,308
5,Ed Sheeran demonstrates how copyright is destroying musicians,https://www.techdirt.com/2023/05/08/ed-sheeran-once-again-demonstrates-how-modern-copyright-is-destroying-rather-than-helping-musicians/,299
6,1-Bit Hokusai’s ”The Great Wave”,https://www.hypertalking.com/2023/05/08/1-bit-pixel-art-of-hokusais-the-great-wave-off-kanagawa/,292
7,LLMs are not greater than the sum of their parts: researchers,https://hai.stanford.edu/news/ais-ostensible-emergent-abilities-are-mirage,234
8,NeXT Computers,https://www.nextcomputers.org/,213
9,GPU vendor-agnostic fluid dynamics solver in Julia,https://b-fg.github.io/2023/05/07/waterlily-on-gpu.html,211
10,Are sockets the wave of the future? (1990),https://groups.google.com/g/comp.protocols.tcp-ip/c/mVnR2OSXHBY/m/tjdkK1OBtCEJ,190
11,Dutch town installs bat-friendly red LED street lights (2018),https://electronics360.globalspec.com/article/11940/dutch-town-becomes-first-to-install-bat-friendly-red-led-street-lights,189
12,“Tinder for Canceling Meetings”,https://meetcala.com/,186
13,How to design software architecture for startups,https://appventuretime.blog/how-to-design-software-architecture-for-startups,184
14,Reflected Diffusion Models,https://aaronlou.com/blog/2023/reflected-diffusion/,169
15,Last Call to Migrate Mojang Accounts,https://www.minecraft.net/en-us/article/account-migration-last-call,161
16,"Show HN: SineRider, a math puzzle game",https://github.com/hackclub/sinerider,157
